,PC1,PC2
Black Rock,1.120896709,-2.814289212
South Solitary Island,2.245128621,-0.869694573
South West Solitary Island,6.112320914,0.968085065
Woolgoolga Reef,4.149530865,0.252748062
North West Solitary Island,3.591620203,1.13334573
North Rock,5.078477455,2.402784604
North Solitary Island,0.658155296,-1.527748561
Cook Island,-0.188840828,-2.024065233
Flat Rock,-2.600455165,-1.782185807
Flinders,-2.386138767,1.093958261
Inner Gneering Shoals,-0.413641875,1.175530571
Mudjimba,0.595405646,0.518597706
Lady Elliot Island,-4.32507221,-0.699331071
Lady Musgrave Island,-4.24990075,0.68440257
Libbies Lair,-4.120808684,2.524336827
Tenements,-4.114046433,2.528312194
